Sample	Unit	Group
GSM6001955	L1	Control_sg2
GSM6001955	L2	Control_sg2
GSM6001955	L3	Control_sg2
GSM6001955	L4	Control_sg2
GSM6001954	L1	Control_sg2
GSM6001954	L2	Control_sg2
GSM6001954	L3	Control_sg2
GSM6001954	L4	Control_sg2
GSM6001953	L1	Control_sg2
GSM6001953	L2	Control_sg2
GSM6001953	L3	Control_sg2
GSM6001953	L4	Control_sg2
GSM6001952	L1	hSETDB1_sg1
GSM6001952	L2	hSETDB1_sg1
GSM6001952	L3	hSETDB1_sg1
GSM6001952	L4	hSETDB1_sg1
GSM6001951	L1	hSETDB1_sg1
GSM6001951	L2	hSETDB1_sg1
GSM6001951	L3	hSETDB1_sg1
GSM6001951	L4	hSETDB1_sg1
GSM6001950	L1	hSETDB1_sg1
GSM6001950	L2	hSETDB1_sg1
GSM6001950	L3	hSETDB1_sg1
GSM6001950	L4	hSETDB1_sg1
