Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving
GSM6001950_L1	39.2474	0.940405	626614457.0	8825551.0	0.490806	99.23033549002952
GSM6001950_L2	38.662600000000005	0.941341	620413737.0	8729431.0	0.490995	99.19878971860821
GSM6001950_L3	39.3298	0.941091	642308560.0	9039817.0	0.490912	99.22357081687898
GSM6001950_L4	39.1322	0.940775	630497776.0	8876363.0	0.491257	99.23198967206712
GSM6001951_L1	41.297	0.941561	714885387.0	10057443.0	0.486447	99.36096435067452
GSM6001951_L2	40.8972	0.94269	714812978.0	10044329.0	0.486612	99.34819471924867
GSM6001951_L3	41.4832	0.942213	734048312.0	10319756.0	0.486558	99.37775726832591
GSM6001951_L4	41.3597	0.942098	725214305.0	10196562.0	0.486909	99.38386569063496
GSM6001952_L1	40.0193	0.941193	707881266.0	9962635.0	0.490285	99.2569256484291
GSM6001952_L2	39.4776	0.942285	701130514.0	9856256.0	0.490571	99.23665474837476
GSM6001952_L3	40.166000000000004	0.941921	725139235.0	10197527.0	0.490387	99.25742309236935
GSM6001952_L4	39.9794	0.941688	712057569.0	10015783.0	0.490771	99.26870010688266
GSM6001953_L1	39.0707	0.938865	639897023.0	9029112.0	0.484175	99.3938470588857
GSM6001953_L2	38.6463	0.940193	638837659.0	9001391.0	0.484409	99.3828944747675
GSM6001953_L3	39.3042	0.939517	659442195.0	9298201.0	0.48442	99.4116046480175
GSM6001953_L4	39.203700000000005	0.939535	650712903.0	9174911.0	0.484659	99.42262796439432
GSM6001954_L1	39.256600000000006	0.939293	666646299.0	9401535.0	0.482252	99.42688700720737
GSM6001954_L2	38.7599	0.940374	661229181.0	9314391.0	0.482445	99.42232015311718
GSM6001954_L3	39.5022	0.939786	685716948.0	9665223.0	0.482422	99.4521358152474
GSM6001954_L4	39.328	0.939737	674825664.0	9512054.0	0.482741	99.46335890833518
GSM6001955_L1	42.5724	0.941481	743040355.0	10453851.0	0.48004	99.30010193271302
GSM6001955_L2	42.1028	0.942575	742319060.0	10431561.0	0.480279	99.28254114612203
GSM6001955_L3	42.7907	0.942159	764595958.0	10749336.0	0.480328	99.300759379028
GSM6001955_L4	42.5929	0.941926	753961158.0	10602187.0	0.480513	99.30284116134132
